"","species","run","run.env","time","pop","thinned"
"167","2",6,-0.114333221075177,1,0,0
"168","3",6,-0.114333221075177,1,5,0
"169","4",6,-0.114333221075177,1,66,0
"170","5",6,-0.114333221075177,1,0,0
"171","6",6,-0.114333221075177,1,0,0
"172","7",6,-0.114333221075177,1,0,0
"173","8",6,-0.114333221075177,1,79,0
"174","9",6,-0.114333221075177,1,0,0
"175","10",6,-0.114333221075177,1,4,0
"176","11",6,-0.114333221075177,1,0,0
"177","12",6,-0.114333221075177,1,13,0
"178","13",6,-0.114333221075177,1,0,0
"179","14",6,-0.114333221075177,1,63,0
"180","15",6,-0.114333221075177,1,0,0
"181","1",7,0.748017363382619,0,125,0
"182","2",7,0.748017363382619,0,0,0
"183","3",7,0.748017363382619,0,18,0
"184","4",7,0.748017363382619,0,230,0
"185","5",7,0.748017363382619,0,0,0
"186","6",7,0.748017363382619,0,0,0
"187","7",7,0.748017363382619,0,0,0
"188","8",7,0.748017363382619,0,126,0
"189","9",7,0.748017363382619,0,0,0
"190","10",7,0.748017363382619,0,26,0
"191","11",7,0.748017363382619,0,0,0
"192","12",7,0.748017363382619,0,15,0
"193","13",7,0.748017363382619,0,0,0
"194","14",7,0.748017363382619,0,38,0
"195","15",7,0.748017363382619,0,0,0
